S/T code,S/T name,LGAcode,LGAname,Males,Females,Persons,0-14%,15–64%,65+%
6,Tasmania,60610,Burnie (C),8685,8609,17294,23.6,63.7,12.7
6,Tasmania,60810,Central Coast (M) (Tas.),9371,9977,19348,18.6,63.3,18.1
6,Tasmania,61010,Central Highlands (M) (Tas.),10637,11267,21904,16.8,60.2,23
6,Tasmania,61210,Circular Head (M),1132,1012,2144,17.5,57.6,24.9
6,Tasmania,61410,Clarence (C),4106,3960,8066,20.6,62.6,16.8
6,Tasmania,61510,Derwent Valley (M),28327,28618,56945,18.1,61.7,20.2
6,Tasmania,61610,Devonport (C),5225,5065,10290,19,62.1,18.9
6,Tasmania,61810,Dorset (M),12077,13338,25415,18.4,60.2,21.4
6,Tasmania,62010,Flinders (M) (Tas.),3337,3315,6652,16.8,58.9,24.4
6,Tasmania,62210,George Town (M),537,450,987,14.7,57.5,27.8
6,Tasmania,62410,Glamorgan - Spring Bay (M),3453,3478,6931,17.9,58.5,23.6
6,Tasmania,62610,Glenorchy (C),2288,2240,4528,11.7,55.3,33
6,Tasmania,62810,Hobart (C),23792,23844,47636,18.4,64,17.5
6,Tasmania,63010,Huon Valley (M),26786,26898,53684,14.5,68.1,17.4
6,Tasmania,63210,Kentish (M),8578,8641,17219,18.1,61.4,20.4
6,Tasmania,63410,King Island (M),3230,3094,6324,16,63,21.1
6,Tasmania,63610,Kingborough (M),810,791,1601,16.6,59.8,23.5
6,Tasmania,63810,Latrobe (M) (Tas.),18576,19158,37734,19.5,61.3,19.2
6,Tasmania,64010,Launceston (C),5566,5763,11329,16.7,58.4,24.9
6,Tasmania,64210,Meander Valley (M),32797,34652,67449,17.8,64.5,17.7
6,Tasmania,64610,Northern Midlands (M),9584,10129,19713,17.1,60.8,22.1
6,Tasmania,64810,Sorell (M),6627,6673,13300,17.4,61.3,21.3
6,Tasmania,65010,Southern Midlands (M),7675,7543,15218,18.5,63.3,18.2
6,Tasmania,65210,Tasman (M),3157,2961,6118,18.2,63.8,18
6,Tasmania,65410,Waratah - Wynyard (M),1233,1171,2404,12.3,57,30.7
6,Tasmania,65610,West Coast (M),6830,6970,13800,17.5,59.7,22.8
6,Tasmania,65810,West Tamar (M),2200,1967,4167,18.6,63.9,17.6
7,Northern Territory,70200,Alice Springs (T),11649,12120,23769,17.4,61.3,21.3
7,Northern Territory,70420,Barkly (R),12943,13591,26534,21.5,69.8,8.7
7,Northern Territory,70540,Belyuen (S),3758,3634,7392,27.1,66.6,6.3
7,Northern Territory,70620,Central Desert (R),101,73,174,18.4,77.6,4
7,Northern Territory,70700,Coomalie (S),2063,2145,4208,28.6,66.6,4.9
7,Northern Territory,71000,Darwin (C),712,679,1391,18.2,62.8,19.1
7,Northern Territory,71300,East Arnhem (R),43359,41254,84613,18.5,71.9,9.6
7,Northern Territory,72200,Katherine (T),5175,5170,10345,27,70,3
7,Northern Territory,72300,Litchfield (M),5586,5035,10621,21.7,69.4,8.9
7,Northern Territory,72330,MacDonnell (R),15382,10216,25598,17.1,73.7,9.1
7,Northern Territory,72800,Palmerston (C),3523,3340,6863,21.1,74,5
7,Northern Territory,73600,Roper Gulf (R),19198,18664,37862,25.7,69.5,4.8
7,Northern Territory,74050,Tiwi Islands (R),3787,3610,7397,27.7,67.5,4.8
7,Northern Territory,74550,Victoria Daly (R),1397,1356,2753,24.2,71,4.8
7,Northern Territory,74560,Wagait (S),1645,1493,3138,25.5,67.5,7
7,Northern Territory,74660,West Arnhem (R),270,238,508,16.3,65.4,18.3
7,Northern Territory,74680,West Daly (R),3530,3372,6902,24.7,72.4,3
7,Northern Territory,79399,Unincorporated NT,1771,1878,3649,31.2,67,1.8
8,Australian Capital Territory,89399,Unincorporated ACT,4036,3343,7379,20.9,71.7,7.4
9,Other Territories,99399,Unincorp. Other Territories,208320,212640,420960,19.1,68.2,12.7
